symbol,NGF3-1-1,NGF3-1-2,NGF3-1-3,NGF3-2-1,NGF3-2-2,NGF3-2-3,NGF3-3-1,NGF3-3-2,NGF3-3-3,NGF3-7-1,NGF3-7-2,NGF3-7-3,NGF3-7-4,NGF3-7-5,NGF3-7-6,NGF3-7-7,NGF3-7-8,NGF3-C-1,NGF3-C-2,NGF3-C-3,NGF3-1-4,NGF3-1-5,NGF3-1-6,NGF3-2-4,NGF3-2-5,NGF3-2-6,NGF3-3-4,NGF3-3-5,NGF3-3-6,NGF3-7-10,NGF3-7-11,NGF3-7-12,NGF3-7-13,NGF3-7-14,NGF3-7-15,NGF3-7-16,NGF3-7-9,NGF3-C-4,NGF3-C-5,NGF3-C-6
Degs1,40,11,2,1488,2548,14,33,22,44,689,8,396,482,5,84,18,13,10,23,83,65,2465,0,32,0,2,56,2,196,3,6,9,7,1616,437,3,0,8,1,45
Degs2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dek,7736,4237,5123,124,1713,279,4886,2074,12653,7819,3236,4109,8251,3420,386,8474,18889,3751,6041,4003,7060,3137,1684,8907,1378,331,1726,13701,5416,10953,11171,1854,3006,2519,3013,4019,197,3147,874,6151
Dennd1a,0,12,0,0,2,0,14,0,174,36,5,69,16,232,17,40,116,4,0,0,0,2,0,1,0,0,3,6,0,13,7,19,14,1,0,27,11,0,0,3
Dennd1c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennd2c,0,0,0,0,0,817,9,0,0,3,32,35,1,0,45,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,13,0,3,0,0,0,0,0,5,0
Dennd2d,0,0,2,0,0,0,0,0,0,16,2,20,5,0,0,827,590,0,19,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
Dennd5a,22,0,0,31,0,1,1108,139,6,222,33,135,129,357,186,604,149,64,1157,3437,358,11,0,145,0,5,174,3,37,17,878,14,459,14,72,29,2,1,2,7
Dennd6a,2,0,1,12,2,0,17,3,2772,179,86,148,50,7,78,607,396,1,0,0,3,0,0,64,0,1,0,183,0,1280,11,4,3,2,3,568,1,2,5,0
Dennd6b,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,1,0,2,0,1,1,0,0,0,0,0,0
Depdc1b,0,0,0,1,1,0,55,0,143,134,11,317,18,0,0,175,32,0,1142,27,47,0,0,0,0,1,0,3,0,2,6,0,0,0,6,82,0,0,0,0
Depdc5,0,12,0,2,16,47,20,2,4,223,73,27,6,50,32,1,45,209,2768,54,4,0,1,19,1,2,0,2,1,20,20,3,837,0,0,22,0,39,3,59
Depdc7,667,2051,1,0,1,87,463,0,724,526,3,6,165,34,66,53,157,0,3,0,90,0,5,36,0,0,3,909,3315,6,1306,19,311,1,315,2,2,0,1,1
Derl1,95,6,9,1480,189,34,238,893,936,394,178,679,154,284,42,212,24,22,50,3,4545,0,0,7,28,0,3,9,10,1233,20,7,44,363,478,498,21,51,15,31
Derl3,0,11,0,0,4,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
Desi1,6,4,1,0,2,0,0,0,14,85,3,23,12,383,2,8,0,265,1,0,25,5,0,1,6,0,9,0,12,1,255,0,385,1,1,0,22,17,1,0
Desi2,591,1514,1,85,910,0,28,1,3,55,62,102,22,19,82,304,4075,1487,4,0,3313,5,91,13,102,1,0,46,416,2141,160,12,8,2,614,389,4,65,2,230
