symbol,NGF-1-1,NGF-1-2,NGF-1-3,NGF-1-4,NGF-2-1,NGF-2-2,NGF-2-3,NGF-2-4,NGF-3-1,NGF-3-2,NGF-3-3,NGF-3-4,NGF-C-1,NGF-C-2,NGF-C-3,NGF-1-5,NGF-1-6,NGF-1-7,NGF-2-5,NGF-2-6,NGF-2-7,NGF-3-5,NGF-3-6,NGF-3-7,NGF-7-1,NGF-7-2,NGF-7-3,NGF-C-4,NGF-C-5,NGF-C-6,NGF-1-10,NGF-1-8,NGF-1-9,NGF-2-10,NGF-2-8,NGF-2-9,NGF-3-10,NGF-3-8,NGF-3-9,NGF-7-4,NGF-7-5,NGF-7-6,NGF-C-7,NGF-C-8,NGF-C-9,NGF-1-11,NGF-1-12,NGF-1-13,NGF-1-14,NGF-1-15,NGF-2-11,NGF-2-12,NGF-2-13,NGF-2-14,NGF-2-15,NGF-3-11,NGF-3-12,NGF-3-13,NGF-3-14,NGF-3-15,NGF-C-10,NGF-C-11,NGF-C-12,NGF-C-13,NGF-C-14,NGF-C-15
Btnl2,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,1,0,0,5,0
Btnl3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Btnl5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btnl7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btnl8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btrc,0,5,1,0,83,811,848,0,190,2,0,1,0,0,1,0,1,296,0,0,0,1,753,5,1,1,1,1,1,0,0,88,0,0,0,1,1,0,0,10,2,9,0,0,17,35,0,0,0,0,57,6,0,7,83,0,0,0,0,0,82,0,1,7,1,1
Bub1,74,3,4,260,488,3016,586,17,133,494,140,636,62,486,256,4228,1236,1234,25,789,2332,380,2247,2188,72,20,6,73,2840,2797,656,554,635,4656,1951,538,1,50,1,2,5,27,12574,6973,530,296,118,0,23,254,4,1172,2,34,77,2,208,1977,156,2,290,298,4,266,0,402
Bub3,4,1,5,564,1266,1429,4453,18,623,1022,45,829,439,1380,1498,2408,73,1684,25,3782,2946,520,1022,94,1765,45,57,9445,1322,4350,78,3628,16,26,5730,923,5880,28,23553,177,10,423,3070,913,1298,501,1547,0,826,2760,623,188,27,156,514,2713,19,1944,20,4,2147,521,53,2695,4,437
Bud13,67,0,0,0,29,479,49,2,7,3,4,0,2,10,264,1467,654,0,18,9,0,6,335,2,112,3,12,0,308,0,1,1,0,0,0,21,2920,834,0,0,7,17,0,17,1,143,1,0,0,407,1,477,0,1,7,296,5,1,155,0,125,0,0,131,1,23
Bud31,154,5427,743,2164,4675,6236,3067,7259,7227,3959,1525,7119,817,2213,5373,4632,1684,757,14492,3295,2067,879,3616,4533,1157,71,101,4222,2969,2547,3014,1605,2563,125,9259,4822,15949,4548,2172,248,18,437,14352,6688,678,3282,3608,1055,2101,2974,3475,2027,2613,1383,2947,11679,776,402,6266,151,3027,238,881,2433,1698,7314
