symbol,NGF2-1-5,NGF2-1-6,NGF2-1-7,NGF2-2-5,NGF2-2-6,NGF2-2-7,NGF2-3-5,NGF2-3-6,NGF2-3-7,NGF2-7-5,NGF2-7-6,NGF2-7-7,NGF2-C-5,NGF2-C-7,NGF2-1-1,NGF2-1-2,NGF2-1-3,NGF2-2-1,NGF2-2-2,NGF2-2-3,NGF2-3-1,NGF2-3-2,NGF2-3-3,NGF2-7-1,NGF2-7-2,NGF2-7-3,NGF2-C-1,NGF2-C-2,NGF2-C-3,NGF2-1-10,NGF2-1-8,NGF2-1-9,NGF2-2-10,NGF2-2-8,NGF2-2-9,NGF2-3-10,NGF2-3-8,NGF2-3-9,NGF2-7-10,NGF2-7-8,NGF2-7-9,NGF2-C-10,NGF2-C-8,NGF2-C-9,NGF2-1-14,NGF2-1-15,NGF2-1-4,NGF2-2-14,NGF2-2-15,NGF2-2-4,NGF2-3-14,NGF2-3-15,NGF2-3-4,NGF2-7-14,NGF2-7-15,NGF2-7-16,NGF2-7-4,NGF2-C-14,NGF2-C-15,NGF2-C-4,NGF2-1-11,NGF2-1-12,NGF2-1-13,NGF2-2-11,NGF2-2-12,NGF2-2-13,NGF2-3-11,NGF2-3-12,NGF2-3-13,NGF2-7-11,NGF2-7-12,NGF2-7-13,NGF2-C-11,NGF2-C-12,NGF2-C-13
Fam217a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,535,0,0,0,0,0
Fam217b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fam219a,0,0,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,2,3,0,2,0,2,1,0,946,2,0,1,0,1,1,2,0,2,1,0,1,3,0,0,3,1,1,0,1,0,1,1,0,0,2,3,1,1,0,1,0,2,0,1,1,0,0,0,4,1,1,2,0,3,0,0,0,2
Fam219b,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Fam220a,1334,1,0,0,0,0,10,32,87,10,1,0,36,0,0,0,20,32,0,2,1,0,0,11,6,8,473,840,597,4,2,1,11,7,141,265,19,108,218,111,3,7,4,1,0,2,1,85,117,0,0,1,0,58,25,0,0,8,0,26,0,1,0,0,0,0,0,4,253,131,5,15,1,259,43
Fam221a,0,2010,11,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,3,0,5,2,0,0,0,0,0,0,0,1,277,0,0,0,0,0,11,0,0,0,0,0,19,702,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
Fam221b,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
Fam222a,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,0,1,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0
Fam222b,0,8,89,0,0,1807,3,12,25,16,1,4,0,143,3,0,2,6,1,3,5,4,22,2,11,250,5,10,234,2,143,19,0,2,84,5,561,2,18,31,465,58,7,4,29,0,7,0,1,12,3,0,4,612,6,1,3,10,2,2,4,5,4,3,32,2,1,25,2,35,53,915,43,1497,5
Fam227a,1,0,3,0,0,2,1,1,1,0,10,0,1,0,0,0,0,2,0,2,0,0,0,1,2,1,0,0,1,1,2,4,1,1,1,1,3,4,0,1,4,3,1,1,0,1,1,4,0,2,1,3,2,1,0,1,2,1,0,2,0,1,1,1,0,0,1,1,2,2,0,2,1,2,2
